"","timestamp","source","destination","databytes"
"5944",85.254736,131,8,44
"5945",85.283041,26,5,34
"5946",85.284016,8,110,65
"5947",85.291824,82,5,40
"5948",85.306465,8,401,146
"5949",85.316224,5,249,35
"5950",85.320128,2,37,212
"5951",85.355264,5,62,33
"5952",85.410898,29,30,60
"5953",85.428464,5,353,36
"5954",85.452865,5,353,43
"5955",85.45872,57,5,39
"5956",85.465552,2,37,212
"5957",85.5124,8,42,80
"5958",85.52704,8,401,43
"5959",85.559248,426,80,50
"5960",85.621713,2,37,212
"5961",85.6344,8,123,37
"5962",85.635376,116,8,41
"5963",85.650993,8,401,195
"5964",85.673441,8,107,38
"5965",85.694912,8,122,52
"5966",85.759328,17,142,97
"5967",85.763232,2,37,212
"5968",85.838385,142,17,25
"5969",85.870592,88,5,36
"5970",85.881328,17,142,51
"5971",85.900848,8,401,35
"5972",85.901824,5,353,53
"5973",85.912561,2,37,212
"5974",85.919393,5,353,248
"5975",85.926224,8,113,43
"5976",85.943792,84,5,39
"5977",85.952576,78,5,35
"5978",85.952577,80,426,162
"5979",85.96136,142,17,48
"5980",85.981857,62,5,139
"5981",85.987712,61,5,38
"5982",86.02928,8,113,50
"5983",86.032208,8,120,38
"5984",86.033184,195,63,47
"5985",86.085888,5,62,47
"5986",86.088816,2,37,149
"5987",86.100528,8,110,39
"5988",86.1464,75,5,42
"5989",86.185441,8,120,93
"5990",86.209841,133,8,41
"5991",86.213745,5,321,212
"5992",86.256688,5,353,39
"5993",86.256689,326,2,28
"5994",86.270352,8,42,41
"5995",86.272306,2,326,30
"5996",86.277185,17,142,55
"5997",86.302561,5,4,248
"5998",86.318176,8,401,42
"5999",86.325984,426,80,44
"6000",86.338672,11,5,42
"6001",86.356241,142,17,38
"6002",86.357216,8,122,34
"6003",86.373812,8,122,220
"6004",86.392352,17,142,50
"6005",86.40309,5,146,88
"6006",86.437248,5,249,35
"6007",86.452864,2,326,55
"6008",86.454816,2,326,139
"6009",86.490929,42,8,142
"6010",86.517281,426,80,35
"6011",86.545584,8,113,34
"6012",86.569987,2,326,24
"6013",86.622688,4,5,40
"6014",86.663681,5,321,46
"6015",86.717361,8,110,43
"6016",86.725168,17,142,50
"6017",86.788609,8,401,211
"6018",86.809106,8,110,123
"6019",86.81984,5,353,42
"6020",86.877424,88,5,36
"6021",86.889136,46,5,37
"6022",86.939888,8,401,50
"6023",86.954528,76,5,41
"6024",86.959408,61,5,52
"6025",86.981857,82,5,33
"6026",86.997473,8,42,39
"6027",87.087843,8,401,92
"6028",87.113216,78,5,188
"6029",87.187392,8,120,46
"6030",87.206913,8,122,46
"6031",87.230337,8,110,56
"6032",87.269377,8,107,42
"6033",87.300608,8,110,217
"6034",87.316225,29,30,60
"6035",87.391376,17,184,97
"6036",87.42944,195,63,40
"6037",87.481168,61,8,39
"6038",87.485072,8,401,40
"6039",87.496784,184,17,31
"6040",87.526065,43,2,20
"6041",87.581696,45,430,88
"6042",87.596336,8,122,34
"6043",87.671489,430,45,22
"6044",87.671491,77,8,36
"6045",87.676368,57,5,35
"6046",87.676369,8,122,182
"6047",87.693936,8,401,36
"6048",87.772993,5,353,45
"6049",87.774944,2,43,18
"6050",87.848144,17,184,57
"6051",87.869616,5,11,37
"6052",87.874496,45,430,69
"6053",87.910608,429,63,71
"6054",87.914512,63,429,27
"6055",87.953552,184,17,41
"6056",87.955504,430,45,39
"6057",87.982833,75,5,42
"6058",88.000001,429,63,57
"6059",88.001953,8,120,36
"6060",88.003904,63,429,42
"6061",88.065392,29,30,60
"6062",88.08296,45,430,46
"6063",88.13176,5,353,54
"6064",88.163969,43,2,30
"6065",88.16397,430,45,44
"6066",88.165922,5,353,90
"6067",88.168849,45,430,56
"6068",88.238144,8,122,40
"6069",88.315248,45,430,50
"6070",88.382593,8,401,36
"6071",88.432369,17,184,48
"6072",88.441152,8,110,38
"6073",88.459696,5,353,37
"6074",88.460672,5,62,32
"6075",88.49581,5,11,103
"6076",88.526065,8,110,66
"6077",88.571936,184,17,42
"6078",88.572913,429,63,49
"6079",88.577794,63,429,42
"6080",88.591456,17,184,54
"6081",88.610976,17,403,45
"6082",88.656848,353,5,42
"6083",88.65685,8,401,37
"6084",88.708576,184,17,36
"6085",88.71248,429,63,54
"6086",88.746642,17,184,48
"6087",88.747617,5,353,39
"6088",88.76421,5,353,214
"6089",88.83448,29,30,60
"6090",88.855952,429,63,50
"6091",88.870593,8,122,36
"6092",88.89109,8,120,35
"6093",88.905729,61,5,52
"6094",88.961361,43,2,66
"6095",89.015616,435,80,84
"6096",89.019521,80,435,27
"6097",89.019522,17,184,50
"6098",89.069296,8,122,122
"6099",89.087841,5,353,36
"6100",89.101504,435,80,53
"6101",89.104432,80,435,38
"6102",89.130785,8,120,29
"6103",89.16104,46,5,37
"6104",89.20984,8,401,47
"6105",89.236195,5,62,188
"6106",89.239122,435,80,45
"6107",89.243024,80,435,31
"6108",89.256688,8,110,37
"6109",89.345504,8,401,242
"6110",89.360144,2,35,43
